"psy_item","item","item_full","description","language","type","psy_option","auth"
"iRL_therm_1:6","therm_item1_relationships","Signal Heater On __________ Maintain Optimal Room Temperature","therm","iRL","relationship","contr-pos","actor"
"iRL_therm_1:7","therm_item1_relationships","Signal Heater On __________ Maintain Optimal Room Temperature","therm","iRL","relationship","contr-neg","actor"
"iRL_therm_1:8","therm_item1_relationships","Signal Heater On __________ Maintain Optimal Room Temperature","therm","iRL","relationship","None","actor"
"iRL_therm_2:1","therm_item2_relationships","Signal Heater Off __________ Maintain Optimal Room Temperature","therm","iRL","relationship","and","goal"
"iRL_therm_2:2","therm_item2_relationships","Signal Heater Off __________ Maintain Optimal Room Temperature","therm","iRL","relationship","or","goal"
"iRL_therm_2:3","therm_item2_relationships","Signal Heater Off __________ Maintain Optimal Room Temperature","therm","iRL","relationship","eff-link-det","goal"
"iRL_therm_2:4","therm_item2_relationships","Signal Heater Off __________ Maintain Optimal Room Temperature","therm","iRL","relationship","eff-link-nondet","goal"
"iRL_therm_2:5","therm_item2_relationships","Signal Heater Off __________ Maintain Optimal Room Temperature","therm","iRL","relationship","contr","goal"
"iRL_therm_2:6","therm_item2_relationships","Signal Heater Off __________ Maintain Optimal Room Temperature","therm","iRL","relationship","contr-pos","goal"
"iRL_therm_2:7","therm_item2_relationships","Signal Heater Off __________ Maintain Optimal Room Temperature","therm","iRL","relationship","contr-neg","goal"
"iRL_therm_2:8","therm_item2_relationships","Signal Heater Off __________ Maintain Optimal Room Temperature","therm","iRL","relationship","None","goal"
"iRL_therm_3:1","therm_item3_relationships","Signal Heater On __________ On Signal Succeeded","therm","iRL","relationship","and","task"
"iRL_therm_3:2","therm_item3_relationships","Signal Heater On __________ On Signal Succeeded","therm","iRL","relationship","or","task"
"iRL_therm_3:3","therm_item3_relationships","Signal Heater On __________ On Signal Succeeded","therm","iRL","relationship","eff-link-det","task"
"iRL_therm_3:4","therm_item3_relationships","Signal Heater On __________ On Signal Succeeded","therm","iRL","relationship","eff-link-nondet","task"
"iRL_therm_3:5","therm_item3_relationships","Signal Heater On __________ On Signal Succeeded","therm","iRL","relationship","contr","task"
